item_id,cleanout_bag_id,category,donor_state,weight_grams,disposition,timestamp,evidence_id
TB-1001,TU-BAG-9821,Denim,CA,630,LISTED_RESALE,2026-09-19T13:00:00.000Z,RS-20301
TB-1002,TU-BAG-9821,Outerwear,CA,,REPAIRED,2026-09-19T13:02:00.000Z,RP-20302
TB-1003,TU-BAG-9822,Knitwear,TX,345,LISTED_RESALE,2026-09-19T13:04:00.000Z,RS-20303
TB-1004,TU-BAG-9822,Tops,CA,185,DOWN_CYCLED_SHRED,2026-09-19T13:06:00.000Z,
TB-1005,TU-BAG-9823,Accessories,CA,105,LISTED_RESALE,2026-09-19T13:08:00.000Z,RS-20305
TB-1006,TU-BAG-9823,Denim,NV,680,REPAIRED,2026-09-19T13:10:00.000Z,RP-20306
TB-1007,TU-BAG-9824,Outerwear,CA,930,LISTED_RESALE,2026-09-19T13:12:00.000Z,RS-20307
TB-1008,TU-BAG-9824,Tops,CA,,REPAIRED,2026-09-19T13:14:00.000Z,RP-20308
TB-1009,TU-BAG-9825,Knitwear,CA,360,UNVERIFIED_EXPORT,2026-09-19T13:16:00.000Z,
TB-1010,TU-BAG-9825,Denim,CA,645,LANDFILL,2026-09-19T13:18:00.000Z,
TB-1011,TU-BAG-9826,Accessories,OR,115,LISTED_RESALE,2026-09-19T13:20:00.000Z,RS-20311
TB-1012,TU-BAG-9826,Outerwear,CA,875,REPAIRED,2026-09-19T13:22:00.000Z,RP-20312
TB-1013,TU-BAG-9827,Tops,CA,175,LISTED_RESALE,2026-09-19T13:24:00.000Z,RS-20313
TB-1014,TU-BAG-9827,Denim,,610,LISTED_RESALE,2026-09-19T13:26:00.000Z,RS-20314
TB-1015,TU-BAG-9828,Knitwear,CA,,LISTED_RESALE,2026-09-19T13:28:00.000Z,RS-20315
TB-1016,TU-BAG-9828,Outerwear,CA,790,DOWN_CYCLED_SHRED,2026-09-19T13:30:00.000Z,
TB-1017,TU-BAG-9829,Accessories,CA,119,REPAIRED,2026-09-01T08:32:00.000Z,RP-20317
TB-1018,TU-BAG-9829,Accessories,CA,,LISTED_RESALE,2026-09-01T08:34:00.000Z,RS-20318
TB-1019,TU-BAG-9830,Outerwear,CA,906,UNVERIFIED_EXPORT,2026-09-01T08:36:00.000Z,
TB-1020,TU-BAG-9830,Tops,CA,168,LANDFILL,2026-09-01T08:38:00.000Z,
TB-1021,TU-BAG-9831,Tops,CA,189,REPAIRED,2026-09-01T08:40:00.000Z,RP-20321
TB-1022,TU-BAG-9831,Tops,CA,,LISTED_RESALE,2026-09-01T08:42:00.000Z,RS-20322
TB-1023,TU-BAG-9832,Knitwear,CA,302,REPAIRED,2026-09-01T08:44:00.000Z,RP-20323
TB-1024,TU-BAG-9832,Tops,OR,157,REPAIRED,2026-09-01T08:46:00.000Z,RP-20324
TB-1025,TU-BAG-9833,Knitwear,CA,364,LISTED_RESALE,2026-09-01T08:48:00.000Z,RS-20325
TB-1026,TU-BAG-9833,Outerwear,CA,,LISTED_RESALE,2026-09-01T08:50:00.000Z,RS-20326
TB-1027,TU-BAG-9834,Accessories,CA,107,REPAIRED,2026-09-01T08:52:00.000Z,RP-20327
TB-1028,TU-BAG-9834,Accessories,CA,104,REPAIRED,2026-09-01T08:54:00.000Z,RP-20328
TB-1029,TU-BAG-9835,Knitwear,,383,LISTED_RESALE,2026-09-01T08:56:00.000Z,RS-20329
TB-1030,TU-BAG-9835,Knitwear,CA,347,LISTED_RESALE,2026-09-01T08:58:00.000Z,RS-20330
TB-1031,TU-BAG-9836,Accessories,CA,,LISTED_RESALE,2026-09-01T09:00:00.000Z,RS-20331
TB-1032,TU-BAG-9836,Tops,CA,190,LISTED_RESALE,2026-09-01T09:02:00.000Z,RS-20332
TB-1033,TU-BAG-9837,Tops,IL,167,LISTED_RESALE,2026-09-01T09:04:00.000Z,RS-20333
TB-1034,TU-BAG-9837,Knitwear,NY,342,REPAIRED,2026-09-01T09:06:00.000Z,RP-20334
TB-1035,TU-BAG-9838,Accessories,CA,,REPAIRED,2026-09-01T09:08:00.000Z,RP-20335
TB-1036,TU-BAG-9838,Denim,CA,706,LANDFILL,2026-09-01T09:10:00.000Z,
TB-1037,TU-BAG-9839,Knitwear,GA,297,LISTED_RESALE,2026-09-01T09:12:00.000Z,RS-20337
TB-1038,TU-BAG-9839,Denim,OR,680,REPAIRED,2026-09-01T09:14:00.000Z,RP-20338
TB-1039,TU-BAG-9840,Outerwear,CA,1035,REPAIRED,2026-09-01T09:16:00.000Z,RP-20339
TB-1040,TU-BAG-9840,Accessories,,109,LISTED_RESALE,2026-09-01T09:18:00.000Z,RS-20340
TB-1041,TU-BAG-9841,Accessories,CA,115,REPAIRED,2026-09-01T09:20:00.000Z,RP-20341
TB-1042,TU-BAG-9841,Tops,NY,166,LISTED_RESALE,2026-09-01T09:22:00.000Z,RS-20342
TB-1043,TU-BAG-9842,Tops,NV,212,DOWN_CYCLED_SHRED,2026-09-01T09:24:00.000Z,
TB-1044,TU-BAG-9842,Denim,CA,772,LISTED_RESALE,2026-09-01T09:26:00.000Z,RS-20344
TB-1045,TU-BAG-9843,Denim,CA,577,LISTED_RESALE,2026-09-01T09:28:00.000Z,RS-20345
TB-1046,TU-BAG-9843,Outerwear,CA,,REPAIRED,2026-09-01T09:30:00.000Z,RP-20346
TB-1047,TU-BAG-9844,Outerwear,CA,,UNVERIFIED_EXPORT,2026-09-01T09:32:00.000Z,
TB-1048,TU-BAG-9844,Accessories,FL,98,REPAIRED,2026-09-01T09:34:00.000Z,RP-20348
TB-1049,TU-BAG-9845,Denim,FL,,REPAIRED,2026-09-01T09:36:00.000Z,RP-20349
TB-1050,TU-BAG-9845,Denim,GA,583,DOWN_CYCLED_SHRED,2026-09-01T09:38:00.000Z,
TB-1051,TU-BAG-9846,Denim,,732,LISTED_RESALE,2026-09-01T09:40:00.000Z,RS-20351
TB-1052,TU-BAG-9846,Outerwear,IL,830,REPAIRED,2026-09-01T09:42:00.000Z,RP-20352
TB-1053,TU-BAG-9847,Outerwear,CA,1064,UNVERIFIED_EXPORT,2026-09-01T09:44:00.000Z,
TB-1054,TU-BAG-9847,Denim,CO,614,REPAIRED,2026-09-01T09:46:00.000Z,RP-20354
TB-1055,TU-BAG-9848,Knitwear,CA,,LISTED_RESALE,2026-09-01T09:48:00.000Z,RS-20355
TB-1056,TU-BAG-9848,Knitwear,CA,323,REPAIRED,2026-09-01T09:50:00.000Z,RP-20356
TB-1057,TU-BAG-9849,Outerwear,,1019,LISTED_RESALE,2026-09-01T09:52:00.000Z,RS-20357
TB-1058,TU-BAG-9849,Knitwear,CA,414,REPAIRED,2026-09-01T09:54:00.000Z,RP-20358
TB-1059,TU-BAG-9850,Knitwear,TX,,LISTED_RESALE,2026-09-01T09:56:00.000Z,RS-20359
TB-1060,TU-BAG-9850,Denim,CA,,REPAIRED,2026-09-01T09:58:00.000Z,RP-20360
TB-1061,TU-BAG-9851,Tops,AZ,,REPAIRED,2026-09-01T10:00:00.000Z,RP-20361
TB-1062,TU-BAG-9851,Outerwear,CA,,REPAIRED,2026-09-01T10:02:00.000Z,RP-20362
TB-1063,TU-BAG-9852,Knitwear,NV,333,LISTED_RESALE,2026-09-01T10:04:00.000Z,RS-20363
TB-1064,TU-BAG-9852,Accessories,CA,107,UNVERIFIED_EXPORT,2026-09-01T10:06:00.000Z,
TB-1065,TU-BAG-9853,Denim,CA,675,REPAIRED,2026-09-01T10:08:00.000Z,RP-20365
TB-1066,TU-BAG-9853,Accessories,CA,96,LANDFILL,2026-09-01T10:10:00.000Z,
TB-1067,TU-BAG-9854,Outerwear,CA,881,LISTED_RESALE,2026-09-01T10:12:00.000Z,RS-20367
TB-1068,TU-BAG-9854,Tops,NY,201,LISTED_RESALE,2026-09-01T10:14:00.000Z,RS-20368
TB-1069,TU-BAG-9855,Outerwear,,835,REPAIRED,2026-09-01T10:16:00.000Z,RP-20369
TB-1070,TU-BAG-9855,Outerwear,,812,LISTED_RESALE,2026-09-01T10:18:00.000Z,RS-20370
TB-1071,TU-BAG-9856,Knitwear,CA,364,LISTED_RESALE,2026-09-01T10:20:00.000Z,RS-20371
TB-1072,TU-BAG-9856,Outerwear,,978,REPAIRED,2026-09-01T10:22:00.000Z,RP-20372
TB-1073,TU-BAG-9857,Knitwear,CA,312,REPAIRED,2026-09-01T10:24:00.000Z,RP-20373
TB-1074,TU-BAG-9857,Knitwear,CA,334,REPAIRED,2026-09-01T10:26:00.000Z,RP-20374
TB-1075,TU-BAG-9858,Denim,CA,528,LISTED_RESALE,2026-09-01T10:28:00.000Z,RS-20375
TB-1076,TU-BAG-9858,Accessories,,101,LISTED_RESALE,2026-09-01T10:30:00.000Z,RS-20376
TB-1077,TU-BAG-9859,Denim,FL,532,LISTED_RESALE,2026-09-01T10:32:00.000Z,RS-20377
TB-1078,TU-BAG-9859,Tops,,177,REPAIRED,2026-09-01T10:34:00.000Z,RP-20378
TB-1079,TU-BAG-9860,Tops,CA,176,LISTED_RESALE,2026-09-01T10:36:00.000Z,RS-20379
TB-1080,TU-BAG-9860,Knitwear,CA,356,REPAIRED,2026-09-01T10:38:00.000Z,RP-20380
TB-1081,TU-BAG-9861,Outerwear,,894,LISTED_RESALE,2026-09-01T10:40:00.000Z,RS-20381
TB-1082,TU-BAG-9861,Accessories,NY,125,LISTED_RESALE,2026-09-01T10:42:00.000Z,RS-20382
TB-1083,TU-BAG-9862,Tops,CA,196,LANDFILL,2026-09-01T10:44:00.000Z,
TB-1084,TU-BAG-9862,Outerwear,GA,,REPAIRED,2026-09-01T10:46:00.000Z,RP-20384
TB-1085,TU-BAG-9863,Outerwear,CA,857,REPAIRED,2026-09-01T10:48:00.000Z,RP-20385
TB-1086,TU-BAG-9863,Denim,CA,632,REPAIRED,2026-09-01T10:50:00.000Z,RP-20386
TB-1087,TU-BAG-9864,Tops,,172,LISTED_RESALE,2026-09-01T10:52:00.000Z,RS-20387
TB-1088,TU-BAG-9864,Tops,CA,,LISTED_RESALE,2026-09-01T10:54:00.000Z,RS-20388
TB-1089,TU-BAG-9865,Accessories,,,LISTED_RESALE,2026-09-01T10:56:00.000Z,RS-20389
TB-1090,TU-BAG-9865,Outerwear,NV,941,REPAIRED,2026-09-01T10:58:00.000Z,RP-20390
TB-1091,TU-BAG-9866,Knitwear,CA,,LISTED_RESALE,2026-09-01T11:00:00.000Z,RS-20391
TB-1092,TU-BAG-9866,Denim,CA,572,LISTED_RESALE,2026-09-01T11:02:00.000Z,RS-20392
TB-1093,TU-BAG-9867,Tops,CA,,LISTED_RESALE,2026-09-01T11:04:00.000Z,RS-20393
TB-1094,TU-BAG-9867,Tops,CA,,REPAIRED,2026-09-01T11:06:00.000Z,RP-20394
TB-1095,TU-BAG-9868,Accessories,FL,120,REPAIRED,2026-09-01T11:08:00.000Z,RP-20395
TB-1096,TU-BAG-9868,Outerwear,CA,1059,REPAIRED,2026-09-01T11:10:00.000Z,RP-20396
